"URL","Page Type","Primary Keyword","Secondary Keywords","Intent","Rendered Words","Content Status"
"/","Homepage","RE:Heads, Please! Wiki","","navigational","530","300-800 words"
"/accessories","L2 Hub","RE:Heads, Please! accessories","","navigational","2235","800+ words"
"/accessories/accessories-faq","L3 Article","RE:Heads, Please! accessories FAQ","RE Heads Please accessories FAQ | accessories FAQ in RE Heads Please","informational","583","300-800 words"
"/accessories/accessory-effects","L3 Article","RE:Heads, Please! accessory effects","RE Heads Please accessory effects | accessory effects in RE Heads Please","informational","581","300-800 words"
"/accessories/accessory-gacha","L3 Article","RE:Heads, Please! accessory gacha","RE Heads Please accessory gacha | accessory gacha in RE Heads Please","informational","1230","800+ words"
"/accessories/accessory-inventory","L3 Article","RE:Heads, Please! accessory inventory","RE Heads Please accessory inventory | accessory inventory in RE Heads Please","informational","580","300-800 words"
"/accessories/accessory-rarity","L3 Article","RE:Heads, Please! accessory rarity","RE Heads Please accessory rarity | accessory rarity in RE Heads Please","informational","1240","800+ words"
"/accessories/accessory-roll-system","L3 Article","RE:Heads, Please! accessory roll system","RE Heads Please accessory roll system | accessory roll system in RE Heads Please","informational","600","300-800 words"
"/accessories/accessory-selection-guide","L3 Article","RE:Heads, Please! accessory selection guide","RE Heads Please accessory selection guide | accessory selection guide in RE Heads Please","informational","592","300-800 words"
"/accessories/accessory-stats","L3 Article","RE:Heads, Please! accessory stats","RE Heads Please accessory stats | accessory stats in RE Heads Please","informational","578","300-800 words"
"/accessories/accessory-tickets-guide","L3 Article","RE:Heads, Please! accessory tickets guide","RE Heads Please accessory tickets guide | accessory tickets guide in RE Heads Please","informational","1247","800+ words"
"/accessories/accessory-tiers","L3 Article","RE:Heads, Please! accessory tiers","RE Heads Please accessory tiers | accessory tiers in RE Heads Please","informational","1245","800+ words"
"/accessories/accessory-updates","L3 Article","RE:Heads, Please! accessory updates","RE Heads Please accessory updates | accessory updates in RE Heads Please","informational","578","300-800 words"
"/accessories/accessory-value-comparison","L3 Article","RE:Heads, Please! accessory value comparison","RE Heads Please accessory value comparison | accessory value comparison in RE Heads Please","informational","591","300-800 words"
"/accessories/accessory-values","L3 Article","RE:Heads, Please! accessory values","RE Heads Please accessory values | accessory values in RE Heads Please","informational","1231","800+ words"
"/accessories/beginner-accessories","L3 Article","RE:Heads, Please! accessories for beginners","RE Heads Please accessories for beginners | accessories for beginners in RE Heads Please","informational","594","300-800 words"
