"URL","Page Type","Primary Keyword","Secondary Keywords","Intent","Duplicate Risk"
"/","Homepage","RE:Heads, Please! Wiki","","navigational","Low"
"/accessories","L2 Hub","RE:Heads, Please! accessories","","navigational","Review - semantically adjacent primary keyword"
"/accessories/accessories-faq","L3 Article","RE:Heads, Please! accessories FAQ","RE Heads Please accessories FAQ | accessories FAQ in RE Heads Please","informational","Low"
"/accessories/accessory-effects","L3 Article","RE:Heads, Please! accessory effects","RE Heads Please accessory effects | accessory effects in RE Heads Please","informational","Low"
"/accessories/accessory-gacha","L3 Article","RE:Heads, Please! accessory gacha","RE Heads Please accessory gacha | accessory gacha in RE Heads Please","informational","Low"
"/accessories/accessory-inventory","L3 Article","RE:Heads, Please! accessory inventory","RE Heads Please accessory inventory | accessory inventory in RE Heads Please","informational","Low"
"/accessories/accessory-rarity","L3 Article","RE:Heads, Please! accessory rarity","RE Heads Please accessory rarity | accessory rarity in RE Heads Please","informational","Low"
"/accessories/accessory-roll-system","L3 Article","RE:Heads, Please! accessory roll system","RE Heads Please accessory roll system | accessory roll system in RE Heads Please","informational","Low"
"/accessories/accessory-selection-guide","L3 Article","RE:Heads, Please! accessory selection guide","RE Heads Please accessory selection guide | accessory selection guide in RE Heads Please","informational","Low"
"/accessories/accessory-stats","L3 Article","RE:Heads, Please! accessory stats","RE Heads Please accessory stats | accessory stats in RE Heads Please","informational","Low"
"/accessories/accessory-tickets-guide","L3 Article","RE:Heads, Please! accessory tickets guide","RE Heads Please accessory tickets guide | accessory tickets guide in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/accessories/accessory-tiers","L3 Article","RE:Heads, Please! accessory tiers","RE Heads Please accessory tiers | accessory tiers in RE Heads Please","informational","Low"
"/accessories/accessory-updates","L3 Article","RE:Heads, Please! accessory updates","RE Heads Please accessory updates | accessory updates in RE Heads Please","informational","Low"
"/accessories/accessory-value-comparison","L3 Article","RE:Heads, Please! accessory value comparison","RE Heads Please accessory value comparison | accessory value comparison in RE Heads Please","informational","Low"
